Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191023 14:59:24.230, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999998, 5.000016, 6.173028,-3.149438,15.721499,-1.540817,-3.355678, 1.002367, 6.173028,-3.149438,15.721499,-1.409590,-3.098469, 1.002367, 4.141076,-4.173526,16.143850,-2.006251,-2.806623, 0.830671, 0.124497, 0.124979,14.699373,74.053864,124.821869, 0.124991, 0.110214,754664.163750,125.000000,74.053496,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001821,-10.375275,-0.042605,,,,,
Sing,USC,191023 14:59:41.634, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999997, 3.999976, 5.893956,-3.099204,14.305155,-1.640293,-3.515763, 0.917239, 5.893956,-3.099204,14.305155,-1.511159,-3.270182, 0.917239, 4.255543,-4.075595,14.637662,-2.115037,-2.958090, 0.771583, 0.124832, 0.125298,14.700150,74.121203,125.016903, 0.125371, 0.110379,755701.830625,125.000000,74.120830,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001901,-10.375275,-0.039915,,,,,
Sing,USC,191023 14:59:58.833, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999997, 2.999974, 5.652490,-3.079934,12.775961,-1.585670,-3.655794, 0.881883, 5.652490,-3.079934,12.775961,-1.457340,-3.420274, 0.881883, 4.356260,-4.014688,13.021793,-2.072496,-3.115248, 0.774480, 0.124929, 0.125445,14.699283,74.185571,125.046114, 0.125411, 0.110398,755698.827500,125.000000,74.185336,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001886,-10.375275,-0.037839,,,,,
Sing,USC,191023 15:00:16.131, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999997, 1.999973, 5.458707,-3.054317,11.242434,-1.487636,-3.803562, 0.856351, 5.458707,-3.054317,11.242434,-1.360373,-3.576116, 0.856351, 4.450099,-3.955810,11.404685,-1.989383,-3.285561, 0.787403, 0.124966, 0.125426,14.698715,74.243199,125.055381, 0.125403, 0.110400,755528.989375,125.000000,74.242870,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001875,-10.375275,-0.036363,,,,,
Sing,USC,191023 15:00:33.525, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999997, 1.000020, 5.263523,-3.034533, 9.741974,-1.411787,-3.889888, 0.810870, 5.263523,-3.034533, 9.741974,-1.285348,-3.670575, 0.810870, 4.485884,-3.902432, 9.821760,-1.917072,-3.391612, 0.777531, 0.124971, 0.125431,14.699119,74.298399,125.067397, 0.125421, 0.110405,755508.763125,125.000000,74.298117,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001836,-10.375275,-0.035356,,,,,
Sing,USC,191023 15:00:50.833, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999998,-0.000019, 5.162788,-2.981454, 8.224733,-1.291771,-4.023015, 0.779437, 5.162788,-2.981454, 8.224733,-1.167543,-3.807898, 0.779437, 4.566633,-3.832668, 8.224732,-1.811039,-3.547306, 0.779438, 0.124886, 0.125381,14.700101,74.351052,125.051058, 0.125384, 0.110385,755321.886875,125.000000,74.350740,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001857,-10.375275,-0.034481,,,,,
Sing,USC,191023 15:01:08.030, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999997,-1.000012, 5.079916,-2.877970, 6.726388,-1.317394,-4.210794, 0.692301, 5.079916,-2.877970, 6.726388,-1.197478,-3.999131, 0.692301, 4.619695,-3.716364, 6.646774,-1.861360,-3.730435, 0.724896, 0.124871, 0.125425,14.702014,74.401581,125.028476, 0.125336, 0.110360,755117.724375,125.000000,74.401285,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001913,-10.375275,-0.034111,,,,,
Sing,USC,191023 15:01:25.339, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999997,-1.999999, 4.986504,-2.832245, 5.240539,-1.258274,-4.349876, 0.663023, 4.986504,-2.832245, 5.240539,-1.140264,-4.142105, 0.663023, 4.599134,-3.655114, 5.083128,-1.817948,-3.881173, 0.726911, 0.124808, 0.125309,14.701590,74.448037,125.026757, 0.125323, 0.110354,754996.556875,125.000000,74.447760,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001855,-10.375275,-0.034015,,,,,
Sing,USC,191023 15:01:42.634, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999998,-3.000020, 4.966031,-2.685781, 3.614204,-1.261301,-4.468222, 0.566375, 4.966031,-2.685781, 3.614204,-1.149394,-4.261304, 0.566375, 4.607296,-3.507321, 3.377705,-1.839692,-3.996975, 0.663567, 0.124643, 0.125120,14.700210,74.494363,124.935626, 0.125120, 0.110269,754274.720000,125.000000,74.494252,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001849,-10.375275,-0.034028,,,,,
