Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191016 17:10:45.773, 0.000000, 0.000000, 0.000000, 0.000000, 0.000079,-0.000001, 5.000009, 5.113741, 0.085453,15.494960,-0.112262,-3.099829,-0.015611, 5.113741, 0.085453,15.494960,-0.115822,-2.886757,-0.015611, 3.743804, 0.085453,15.881690,-0.114020,-2.886757,-0.025647, 0.122984, 0.123436,14.574200,77.298806,124.721748, 0.122979, 0.109792,739650.718750,125.000000,77.298552,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001979,-10.375275,-0.036019,,,,,
Sing,USC,191016 17:11:03.065, 0.000000, 0.000000, 0.000000, 0.000000, 0.000079,-0.000000, 3.999959, 4.873737, 0.085650,14.037004,-0.071825,-3.280531,-0.003449, 4.873737, 0.085650,14.037004,-0.075394,-3.077459,-0.003449, 3.882704, 0.085650,14.342782,-0.074970,-3.077459,-0.008699, 0.123456, 0.123894,14.579628,77.340750,124.945424, 0.123455, 0.109985,741138.197500,125.000000,77.340504,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002038,-10.375275,-0.033612,,,,,
Sing,USC,191016 17:11:20.263, 0.000000, 0.000000, 0.000000, 0.000000, 0.000079,-0.000000, 2.999965, 4.666712, 0.088237,12.446816,-0.010154,-3.424958, 0.020062, 4.666712, 0.088237,12.446816,-0.013830,-3.230512, 0.020062, 4.008908, 0.088237,12.673993,-0.014862,-3.230512, 0.019311, 0.123671, 0.124152,14.577095,77.382175,125.066100, 0.123664, 0.110087,741632.923750,125.000000,77.381780,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002065,-10.375275,-0.031714,,,,,
Sing,USC,191016 17:11:37.361, 0.000000, 0.000000, 0.000000, 0.000000, 0.000079,-0.000001, 1.999970, 4.496508, 0.102367,10.891176, 0.057768,-3.583017, 0.042060, 4.496508, 0.102367,10.891176, 0.053503,-3.395663, 0.042060, 4.113678, 0.102367,11.041466, 0.052002,-3.395663, 0.043900, 0.123696, 0.124126,14.576037,77.420208,125.094174, 0.123700, 0.110107,741640.961875,125.000000,77.420003,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002031,-10.375275,-0.030354,,,,,
Sing,USC,191016 17:11:54.459, 0.000000, 0.000000, 0.000000, 0.000000, 0.000079,-0.000000, 0.999983, 4.329036, 0.213135, 9.335409, 0.020054,-3.674236,-0.022393, 4.329036, 0.213135, 9.335409, 0.011173,-3.493860,-0.022393, 4.165455, 0.213135, 9.409539, 0.011563,-3.493860,-0.022194, 0.123675, 0.124120,14.577056,77.458833,125.082603, 0.123683, 0.110093,741565.512500,125.000000,77.458642,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002022,-10.375275,-0.029275,,,,,
Sing,USC,191016 17:12:11.756, 0.000000, 0.000000, 0.000000, 0.000000, 0.000079,-0.000001,-0.000012, 4.201105, 0.256680, 7.844806,-0.022978,-3.782379,-0.084930, 4.201105, 0.256680, 7.844806,-0.033673,-3.607334,-0.084930, 4.201106, 0.256680, 7.844805,-0.033673,-3.607334,-0.084930, 0.123657, 0.124171,14.578085,77.497001,125.069450, 0.123655, 0.110078,741437.440000,125.000000,77.496764,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001991,-10.375275,-0.028619,,,,,
Sing,USC,191016 17:12:28.867, 0.000000, 0.000000, 0.000000, 0.000000, 0.000079,-0.000001,-1.000014, 4.160170, 0.319531, 6.352948,-0.087821,-3.934363,-0.132942, 4.160170, 0.319531, 6.352948,-0.101134,-3.761023,-0.132942, 4.270412, 0.319531, 6.279374,-0.103440,-3.761023,-0.131156, 0.123628, 0.124104,14.578704,77.532273,125.058454, 0.123627, 0.110064,741298.647500,125.000000,77.532124,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002010,-10.375275,-0.028401,,,,,
Sing,USC,191016 17:12:46.159, 0.000000, 0.000000, 0.000000, 0.000000, 0.000079,-0.000001,-2.000003, 4.078048, 0.324351, 4.810379,-0.115620,-4.026240,-0.151912, 4.078048, 0.324351, 4.810379,-0.129134,-3.856322,-0.151912, 4.243443, 0.324351, 4.665126,-0.134357,-3.856322,-0.147313, 0.123505, 0.123999,14.578970,77.565325,124.998749, 0.123500, 0.110008,740851.693125,125.000000,77.565120,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002073,-10.375275,-0.028343,,,,,
Sing,USC,191016 17:13:03.256, 0.000000, 0.000000, 0.000000, 0.000000, 0.000079,-0.000001,-3.000016, 4.087186, 0.365898, 3.214499,-0.192411,-4.199484,-0.195395, 4.087186, 0.365898, 3.214499,-0.207657,-4.029185,-0.195395, 4.249820, 0.365898, 2.996185,-0.217599,-4.029185,-0.184259, 0.123483, 0.123891,14.576134,77.597981,125.005124, 0.123480, 0.110011,740663.482500,125.000000,77.597788,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002021,-10.375275,-0.028492,,,,,
