Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191024 14:49:27.966, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999999, 5.000016, 1.431030,-1.177403, 5.840523,-0.294541,-1.301206, 0.460649, 1.431030,-1.177403, 5.840523,-0.245482,-1.241580, 0.460649, 0.691214,-1.408011, 5.923307,-0.495759,-1.180090, 0.419036, 0.045085, 0.045119,14.712791,74.291182,74.945255, 0.045079, 0.066159,453157.155313,75.000000,74.291113,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001803,-10.375275,-0.012695,,,,,
Sing,USC,191024 14:49:45.167, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999, 3.999973, 1.331857,-1.149972, 5.318241,-0.369391,-1.404071, 0.423215, 1.331857,-1.149972, 5.318241,-0.321476,-1.348577, 0.423215, 0.738245,-1.363777, 5.382850,-0.578949,-1.272266, 0.383764, 0.045197, 0.045236,14.710362,74.295069,75.048934, 0.045196, 0.066251,453703.465313,75.000000,74.295009,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001885,-10.375275,-0.010899,,,,,
Sing,USC,191024 14:50:02.260, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999, 2.999968, 1.237403,-1.141472, 4.744227,-0.379429,-1.405643, 0.387935, 1.237403,-1.141472, 4.744227,-0.331868,-1.354083, 0.387935, 0.770700,-1.339003, 4.791129,-0.581493,-1.275884, 0.357992, 0.045194, 0.045186,14.709000,74.299480,75.044768, 0.045188, 0.066247,453644.729063,75.000000,74.299416,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001844,-10.375275,-0.009605,,,,,
Sing,USC,191024 14:50:19.355, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999, 1.999973, 1.142064,-1.123448, 4.159573,-0.369628,-1.422114, 0.366856, 1.142064,-1.123448, 4.159573,-0.322818,-1.374528, 0.366856, 0.783898,-1.304698, 4.189483,-0.569063,-1.297589, 0.347208, 0.045192, 0.045196,14.710447,74.304323,75.047743, 0.045193, 0.066249,453671.163438,75.000000,74.304293,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001860,-10.375275,-0.008802,,,,,
Sing,USC,191024 14:50:36.559, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999, 1.000021, 1.102427,-1.067637, 3.583513,-0.401770,-1.496245, 0.298889, 1.102427,-1.067637, 3.583513,-0.357285,-1.450311, 0.298889, 0.837607,-1.242851, 3.598680,-0.608825,-1.366236, 0.288308, 0.045191, 0.045176,14.711256,74.308850,75.041484, 0.045189, 0.066243,453665.682188,75.000000,74.308833,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001888,-10.375275,-0.008695,,,,,
Sing,USC,191024 14:50:53.858, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999,-0.000020, 1.035756,-1.006220, 3.008235,-0.434548,-1.516367, 0.218171, 1.035756,-1.006220, 3.008235,-0.392621,-1.473211, 0.218171, 0.845294,-1.170790, 3.008235,-0.642477,-1.382651, 0.218172, 0.045161, 0.045171,14.713392,74.313633,75.015207, 0.045163, 0.066220,453563.104375,75.000000,74.313569,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001870,-10.375275,-0.008204,,,,,
Sing,USC,191024 14:51:10.856, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999,-1.000019, 1.020503,-0.928887, 2.451449,-0.537508,-1.617051, 0.130148, 1.020503,-0.928887, 2.451449,-0.498805,-1.574531, 0.130148, 0.886355,-1.091984, 2.436351,-0.762253,-1.463993, 0.143474, 0.045157, 0.045230,14.712423,74.318278,75.015445, 0.045158, 0.066220,453509.315000,75.000000,74.318242,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001885,-10.375275,-0.008411,,,,,
Sing,USC,191024 14:51:27.957, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999,-1.999986, 1.008607,-0.901156, 1.935638,-0.521901,-1.676278, 0.107425, 1.008607,-0.901156, 1.935638,-0.484353,-1.634253, 0.107425, 0.903842,-1.062609, 1.905256,-0.756567,-1.525318, 0.133910, 0.045135, 0.045158,14.715764,74.323787,74.979419, 0.045127, 0.066188,453408.363750,75.000000,74.323727,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001859,-10.375275,-0.008858,,,,,
Sing,USC,191024 14:51:45.061, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999,-3.000019, 0.999901,-0.935408, 1.333226,-0.430612,-1.747479, 0.145397, 0.999901,-0.935408, 1.333226,-0.391637,-1.705817, 0.145397, 0.890928,-1.094827, 1.288364,-0.673355,-1.611895, 0.180885, 0.045141, 0.045175,14.718417,74.330110,74.984788, 0.045143, 0.066192,453529.634062,75.000000,74.330046,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001849,-10.375275,-0.009234,,,,,
