Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191024 14:20:25.366, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001, 5.000012, 1.407875, 0.019321, 5.476403,-0.189044,-0.756355,-0.076425, 1.407875, 0.019321, 5.476403,-0.189850,-0.697693,-0.076425, 0.925217, 0.019321, 5.578269,-0.182466,-0.697693,-0.092681, 0.044940, 0.044970,14.713083,73.203288,74.751792, 0.044940, 0.066056,453639.549375,75.000000,73.203111,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001779,-10.375275,-0.011464,,,,,
Sing,USC,191024 14:20:42.267, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001, 3.999975, 1.464623,-0.009982, 5.040226,-0.098379,-1.276127,-0.015419, 1.464623,-0.009982, 5.040226,-0.097962,-1.215101,-0.015419, 1.109469,-0.009982, 5.130114,-0.096648,-1.215101,-0.022215, 0.045200, 0.045225,14.717108,73.227959,74.954288, 0.045195, 0.066233,454965.777500,75.000000,73.227798,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001835,-10.375275,-0.009796,,,,,
Sing,USC,191024 14:20:59.163, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001, 2.999964, 1.336216,-0.038314, 4.437065,-0.017628,-1.194842, 0.022889, 1.336216,-0.038314, 4.437065,-0.016032,-1.139166, 0.022889, 1.102170,-0.038314, 4.500915,-0.017208,-1.139166, 0.022019, 0.045330, 0.045322,14.719317,73.251779,75.059134, 0.045323, 0.066325,455603.039687,75.000000,73.251602,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001793,-10.375275,-0.008643,,,,,
Sing,USC,191024 14:21:16.167, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001, 1.999970, 1.278986,-0.035037, 3.827102,-0.016877,-1.253514, 0.019531, 1.278986,-0.035037, 3.827102,-0.015417,-1.200224, 0.019531, 1.144645,-0.035037, 3.869406,-0.016090,-1.200224, 0.018981, 0.045316, 0.045352,14.716024,73.273859,75.071695, 0.045324, 0.066334,455516.750937,75.000000,73.273660,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001780,-10.375275,-0.008012,,,,,
Sing,USC,191024 14:21:33.168, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001, 1.000024, 1.282098,-0.019386, 3.233621, 0.005775,-1.372673, 0.020345, 1.282098,-0.019386, 3.233621, 0.006582,-1.319252, 0.020345, 1.225466,-0.019386, 3.255506, 0.006227,-1.319252, 0.020457, 0.045317, 0.045397,14.712845,73.294538,75.068056, 0.045312, 0.066330,455406.638437,75.000000,73.294422,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001763,-10.375275,-0.007887,,,,,
Sing,USC,191024 14:21:50.266, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-0.000014, 1.246473, 0.000287, 2.661205, 0.016798,-1.458866, 0.013909, 1.246473, 0.000287, 2.661205, 0.016786,-1.406929, 0.013909, 1.246474, 0.000287, 2.661204, 0.016786,-1.406929, 0.013909, 0.045301, 0.045348,14.715960,73.314189,75.047792, 0.045295, 0.066311,455351.147500,75.000000,73.314029,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001842,-10.375275,-0.007638,,,,,
Sing,USC,191024 14:22:07.164, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-1.000020, 1.189345, 0.018634, 2.127977,-0.020389,-1.570736,-0.008266, 1.189345, 0.018634, 2.127977,-0.021165,-1.521181,-0.008266, 1.226303, 0.018634, 2.106896,-0.021306,-1.521181,-0.007895, 0.045302, 0.045284,14.716271,73.333089,75.055864, 0.045305, 0.066317,455382.889062,75.000000,73.332984,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001766,-10.375275,-0.007614,,,,,
Sing,USC,191024 14:22:24.267, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-1.999986, 1.220634, 0.049730, 1.557162,-0.068875,-1.710446,-0.042604, 1.220634, 0.049730, 1.557162,-0.070947,-1.659586,-0.042604, 1.274235, 0.049730, 1.513614,-0.072391,-1.659586,-0.040102, 0.045280, 0.045330,14.713642,73.350972,75.044251, 0.045279, 0.066305,455185.660313,75.000000,73.350854,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001779,-10.375275,-0.008052,,,,,
Sing,USC,191024 14:22:41.164, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-3.000021, 1.161125, 0.093780, 0.957472,-0.122490,-1.654199,-0.084286, 1.161125, 0.093780, 0.957472,-0.126398,-1.605819,-0.084286, 1.209644, 0.093780, 0.895390,-0.130636,-1.605819,-0.077555, 0.045239, 0.045241,14.714736,73.367806,75.012300, 0.045244, 0.066276,455010.756563,75.000000,73.367709,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001802,-10.375275,-0.008394,,,,,
Sing,USC,191024 14:22:58.164, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-4.000021, 1.152857, 0.138614, 0.368908,-0.186360,-1.703736,-0.137174, 1.152857, 0.138614, 0.368908,-0.192136,-1.655700,-0.137174, 1.175782, 0.138614, 0.287590,-0.201237,-1.655700,-0.123436, 0.045225, 0.045244,14.711302,73.382581,75.003972, 0.045222, 0.066268,454834.020937,75.000000,73.382410,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001812,-10.375275,-0.008717,,,,,
Sing,USC,191024 14:23:15.272, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-4.999980, 1.192316, 0.189840,-0.214391,-0.245502,-1.823229,-0.178745, 1.192316, 0.189840,-0.214391,-0.253412,-1.773549,-0.178745, 1.169093, 0.189840,-0.317492,-0.268026,-1.773549,-0.155978, 0.045185, 0.045220,14.713752,73.397417,74.971430, 0.045188, 0.066238,454678.223438,75.000000,73.397312,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001799,-10.375275,-0.009058,,,,,
Sing,USC,191024 14:23:32.163, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-6.000029, 1.195878, 0.224669,-0.802003,-0.323908,-1.755333,-0.237836, 1.195878, 0.224669,-0.802003,-0.333270,-1.705505,-0.237836, 1.105494, 0.224669,-0.922614,-0.356305,-1.705505,-0.201697, 0.045229, 0.045268,14.716022,73.411908,75.002191, 0.045231, 0.066264,454918.102812,75.000000,73.411834,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001757,-10.375275,-0.009590,,,,,
Sing,USC,191024 14:23:49.164, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-7.000024, 1.223227, 0.251336,-1.367217,-0.387014,-1.820401,-0.275026, 1.223227, 0.251336,-1.367217,-0.397486,-1.769433,-0.275026, 1.047487, 0.251336,-1.506101,-0.428041,-1.769433,-0.224535, 0.045226, 0.045239,14.717163,73.426153,74.996884, 0.045228, 0.066259,454909.067188,75.000000,73.426103,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001788,-10.375275,-0.010112,,,,,
Sing,USC,191024 14:24:06.161, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-8.000021, 1.304101, 0.302567,-1.929185,-0.458947,-1.964808,-0.320877, 1.304101, 0.302567,-1.929185,-0.471554,-1.910471,-0.320877, 1.022918, 0.302567,-2.091907,-0.511623,-1.910471,-0.252127, 0.045215, 0.045278,14.717336,73.441020,74.981409, 0.045210, 0.066244,454808.256875,75.000000,73.440887,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001743,-10.375275,-0.010735,,,,,
Sing,USC,191024 14:24:23.261, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-9.000014, 1.425240, 0.271427,-2.586388,-0.401474,-2.082317,-0.285028, 1.425240, 0.271427,-2.586388,-0.412784,-2.022932,-0.285028, 1.003091, 0.271427,-2.777502,-0.452291,-2.022932,-0.216945, 0.045198, 0.045239,14.718259,73.454480,74.969997, 0.045196, 0.066233,454734.008125,75.000000,73.454395,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001787,-10.375275,-0.011390,,,,,
Sing,USC,191024 14:24:40.270, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-10.000014, 1.468732, 0.319697,-3.113771,-0.477774,-2.157536,-0.354441, 1.468732, 0.319697,-3.113771,-0.491094,-2.096339,-0.354441, 0.905717, 0.319697,-3.321508,-0.545182,-2.096339,-0.263779, 0.045189, 0.045201,14.719660,73.467532,74.958946, 0.045183, 0.066223,454663.963125,75.000000,73.467385,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001854,-10.375275,-0.012205,,,,,
Sing,USC,191024 14:24:57.266, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-10.999988, 1.594380, 0.369613,-3.685352,-0.557239,-2.277509,-0.408004, 1.594380, 0.369613,-3.685352,-0.572639,-2.211076,-0.408004, 0.861890, 0.369613,-3.921864,-0.639970,-2.211076,-0.291243, 0.045183, 0.045282,14.719590,73.482230,74.954169, 0.045181, 0.066218,454654.828750,75.000000,73.482122,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001818,-10.375275,-0.013074,,,,,
Sing,USC,191024 14:25:14.159, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-12.000023, 1.700370, 0.433180,-4.341387,-0.667272,-2.232851,-0.483336, 1.700370, 0.433180,-4.341387,-0.685321,-2.162002,-0.483336, 0.760586, 0.433180,-4.600044,-0.770837,-2.162002,-0.330288, 0.045151, 0.045191,14.717341,73.494751,74.935904, 0.045151, 0.066201,454458.055625,75.000000,73.494599,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001832,-10.375275,-0.014223,,,,,
Sing,USC,191024 14:25:31.159, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-13.000018, 1.902733, 0.455020,-4.981799,-0.683929,-2.365010,-0.492832, 1.902733, 0.455020,-4.981799,-0.702888,-2.285729,-0.492832, 0.733304, 0.455020,-5.282138,-0.795736,-2.285729,-0.322085, 0.045097, 0.045165,14.718204,73.507659,74.893393, 0.045099, 0.066162,454187.705313,75.000000,73.507535,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001786,-10.375275,-0.015541,,,,,
