Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191024 15:20:15.654, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999, 5.000013, 4.048679,-2.915223,15.626250,-1.543825,-3.261913, 0.659044, 4.048679,-2.915223,15.626250,-1.422357,-3.093219, 0.659044, 2.105780,-3.573980,15.870173,-1.987945,-2.799236, 0.487638, 0.123955, 0.124485,14.706077,77.239097,124.872140, 0.124398, 0.109930,747342.545625,125.000000,77.238917,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001891,-10.375275,-0.029837,,,,,
Sing,USC,191024 15:20:33.153, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999, 3.999984, 3.756268,-2.805310,14.171537,-1.736277,-3.435346, 0.503943, 3.756268,-2.805310,14.171537,-1.619390,-3.278835, 0.503943, 2.215688,-3.414961,14.361077,-2.194032,-2.947818, 0.351751, 0.124189, 0.124737,14.705272,77.256779,125.051574, 0.124746, 0.110087,748339.565625,125.000000,77.256666,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001905,-10.375275,-0.026757,,,,,
Sing,USC,191024 15:20:50.454, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999, 2.999971, 3.535846,-2.797401,12.609921,-1.690174,-3.532782, 0.463621, 3.535846,-2.797401,12.609921,-1.573616,-3.385454, 0.463621, 2.332313,-3.368895,12.749456,-2.158922,-3.060766, 0.351114, 0.124228, 0.124708,14.704228,77.271180,125.056848, 0.124741, 0.110090,748267.568125,125.000000,77.271080,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001953,-10.375275,-0.024613,,,,,
Sing,USC,191024 15:21:07.756, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999, 1.999971, 3.343702,-2.764393,11.039442,-1.591135,-3.696021, 0.426847, 3.343702,-2.764393,11.039442,-1.475952,-3.556701, 0.426847, 2.425893,-3.303023,11.130884,-2.084779,-3.246370, 0.354305, 0.124220, 0.124735,14.702600,77.287275,125.073034, 0.124767, 0.110102,748304.098125,125.000000,77.287084,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001865,-10.375275,-0.023160,,,,,
Sing,USC,191024 15:21:25.255, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999, 1.000020, 3.196304,-2.758953, 9.515814,-1.451546,-3.879588, 0.418885, 3.196304,-2.758953, 9.515814,-1.336589,-3.746409, 0.418885, 2.502175,-3.272070, 9.560940,-1.973852,-3.457396, 0.384495, 0.124199, 0.124709,14.704335,77.308783,125.021092, 0.124663, 0.110054,747972.196250,125.000000,77.308692,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001873,-10.375275,-0.022318,,,,,
Sing,USC,191024 15:21:42.653, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999,-0.000024, 3.094498,-2.761408, 7.928476,-1.264112,-3.986861, 0.425144, 3.094498,-2.761408, 7.928476,-1.149053,-3.857923, 0.425144, 2.567976,-3.256809, 7.928475,-1.801517,-3.599782, 0.425145, 0.124169, 0.124731,14.704546,77.331088,125.020427, 0.124671, 0.110052,747999.045000,125.000000,77.330878,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001901,-10.375275,-0.021574,,,,,
Sing,USC,191024 15:21:59.952, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999,-1.000019, 3.028478,-2.734107, 6.369868,-1.128661,-4.151063, 0.428285, 3.028478,-2.734107, 6.369868,-1.014740,-4.024877, 0.428285, 2.618486,-3.218459, 6.325132,-1.690502,-3.787521, 0.457859, 0.124105, 0.124626,14.704689,77.355967,125.013504, 0.124644, 0.110043,747850.888750,125.000000,77.355768,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001897,-10.375275,-0.021428,,,,,
Sing,USC,191024 15:22:17.452, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999,-1.999988, 2.997288,-2.599126, 4.923489,-1.240443,-4.412343, 0.294093, 2.997288,-2.599126, 4.923489,-1.132147,-4.287456, 0.294093, 2.670722,-3.080114, 4.833227,-1.848059,-4.025725, 0.358807, 0.124133, 0.124614,14.706992,77.376132,125.006179, 0.124650, 0.110034,747910.898125,125.000000,77.375944,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001931,-10.375275,-0.021757,,,,,
Sing,USC,191024 15:22:34.758, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039,-9.999999,-3.000021, 3.002651,-2.609471, 3.340980,-1.100115,-4.599518, 0.336182, 3.002651,-2.609471, 3.340980,-0.991388,-4.474408, 0.336182, 2.675327,-3.091232, 3.205356,-1.733301,-4.234279, 0.427482, 0.124087, 0.124635,14.706009,77.398475,124.973746, 0.124571, 0.110004,747608.009375,125.000000,77.398345,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001961,-10.375275,-0.022224,,,,,
