Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191024 15:05:33.159, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998, 5.000013, 4.112362, 2.443254,15.475319, 2.011009,-3.012028, 0.155634, 4.112362, 2.443254,15.475319, 1.909207,-2.840680, 0.155634, 2.263057, 3.120240,15.732426, 2.350885,-2.465994, 0.361905, 0.124011, 0.124518,14.700811,75.477123,124.764235, 0.124546, 0.110016,750778.809375,125.000000,75.476814,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001839,-10.375275,-0.030387,,,,,
Sing,USC,191024 15:05:50.561, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998, 3.999975, 3.861379, 2.547268,14.060625, 1.969227,-3.251775, 0.089791, 3.861379, 2.547268,14.060625, 1.863090,-3.090884, 0.089791, 2.371389, 3.179091,14.260782, 2.359472,-2.720404, 0.255001, 0.124495, 0.125034,14.701280,75.528120,124.968254, 0.124950, 0.110191,751932.081250,125.000000,75.527869,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001848,-10.375275,-0.027560,,,,,
Sing,USC,191024 15:06:07.863, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998, 2.999970, 3.611671, 2.565863,12.470956, 1.930868,-3.262408, 0.113019, 3.611671, 2.565863,12.470956, 1.823957,-3.111922, 0.113019, 2.454308, 3.154041,12.616694, 2.327510,-2.747919, 0.235153, 0.124645, 0.125150,14.698499,75.579667,125.044893, 0.125076, 0.110253,752173.227500,125.000000,75.579289,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001872,-10.375275,-0.025386,,,,,
Sing,USC,191024 15:06:25.267, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998, 1.999967, 3.426048, 2.582306,10.918181, 1.863655,-3.370443, 0.145994, 3.426048, 2.582306,10.918181, 1.756059,-3.227691, 0.145994, 2.542772, 3.138002,11.013629, 2.283373,-2.873718, 0.225818, 0.124712, 0.125229,14.699307,75.626677,125.115157, 0.125197, 0.110310,752429.134375,125.000000,75.626287,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001878,-10.375275,-0.024047,,,,,
Sing,USC,191024 15:06:42.462, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998, 1.000029, 3.295499, 2.569060, 9.348089, 1.845774,-3.527094, 0.184053, 3.295499, 2.569060, 9.348089, 1.738730,-3.389781, 0.184053, 2.635744, 3.102287, 9.395521, 2.297381,-3.036356, 0.224181, 0.124633, 0.125126,14.700195,75.671326,125.094185, 0.125156, 0.110287,752255.460625,125.000000,75.670923,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001860,-10.375275,-0.023158,,,,,
Sing,USC,191024 15:06:59.861, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998,-0.000014, 3.229512, 2.544982, 7.816459, 1.763007,-3.709522, 0.212570, 3.229512, 2.544982, 7.816459, 1.656967,-3.574959, 0.212570, 2.738520, 3.067116, 7.816458, 2.252578,-3.232918, 0.212569, 0.124657, 0.125127,14.700583,75.715362,125.077581, 0.125118, 0.110268,752080.175000,125.000000,75.715078,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001888,-10.375275,-0.022679,,,,,
Sing,USC,191024 15:07:17.260, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998,-1.000014, 3.156583, 2.565184, 6.438240, 1.707633,-3.976787, 0.203988, 3.156583, 2.565184, 6.438240, 1.600749,-3.845262, 0.203988, 2.775146, 3.074348, 6.390780, 2.247372,-3.508876, 0.164790, 0.124570, 0.125085,14.702506,75.756552,125.065160, 0.125099, 0.110253,751994.466875,125.000000,75.756295,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001877,-10.375275,-0.022468,,,,,
Sing,USC,191024 15:07:34.659, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998,-1.999987, 3.137370, 2.553429, 4.885008, 1.672646,-4.187794, 0.205967, 3.137370, 2.553429, 4.885008, 1.566253,-4.057071, 0.205967, 2.815179, 3.059436, 4.789678, 2.252780,-3.723458, 0.127424, 0.124486, 0.125036,14.701011,75.797789,125.023877, 0.124999, 0.110212,751601.712500,125.000000,75.797466,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001863,-10.375275,-0.022820,,,,,
Sing,USC,191024 15:07:51.862, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998,-3.000018, 3.140951, 2.454687, 3.231046, 1.746594,-4.275802, 0.315801, 3.140951, 2.454687, 3.231046, 1.644316,-4.144930, 0.315801, 2.832427, 2.962816, 3.087038, 2.352416,-3.796426, 0.192948, 0.124455, 0.124974,14.702566,75.839350,124.994818, 0.124950, 0.110182,751433.382500,125.000000,75.839004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001880,-10.375275,-0.023131,,,,,
Sing,USC,191024 15:08:09.268, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998,-4.000019, 3.199776, 2.533654, 1.649060, 1.440185,-4.492199, 0.161946, 3.199776, 2.533654, 1.649060, 1.334616,-4.358875, 0.161946, 2.819629, 3.050797, 1.455918, 2.077502,-4.060900, 0.017067, 0.124379, 0.124834,14.700249,75.878758,124.960232, 0.124848, 0.110148,750989.312500,125.000000,75.878456,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001880,-10.375275,-0.023903,,,,,
