Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F
Sing,USC,191002 14:18:05.215,0,0,0.000039,0,0.000039,0,4.980012,2.563435,-0.112192,10.431582,0.646406,-2.122385,0.440772,2.563435,-0.112192,10.431582,0.651081,-2.015576,0.440772,1.648225,-0.112192,10.614677,0.610314,-2.015576,0.495689,0.081586,0.081752,14.641402,59.121376,99.622846,0.081585,0.089221,630898.46,100,71.821919
Sing,USC,191002 14:18:22.016,0,0,0.000039,0,0.000039,0,3.983972,2.37381,-0.065318,9.416555,0.623141,-2.143059,0.421376,2.37381,-0.065318,9.416555,0.625863,-2.04415,0.421376,1.713823,-0.065318,9.558703,0.595034,-2.04415,0.463901,0.082134,0.082363,14.641353,58.751205,99.918649,0.082132,0.089518,633595.45,100,71.821919
Sing,USC,191002 14:18:38.714,0,0,0.000039,0,0.000039,0,2.988029,2.305206,-0.046015,8.305757,0.55572,-2.329937,0.361761,2.305206,-0.046015,8.305757,0.557637,-2.233887,0.361761,1.869101,-0.046015,8.414631,0.537999,-2.233887,0.390371,0.082396,0.082592,14.641598,58.492119,100.0514,0.082389,0.089659,634982.8556,100,71.821919
Sing,USC,191002 14:18:55.318,0,0,0.000039,0,0.000039,0,1.991996,2.153561,-0.000498,7.193183,0.489354,-2.33098,0.312627,2.153561,-0.000498,7.193183,0.489374,-2.241249,0.312627,1.902215,-0.000498,7.263698,0.478201,-2.241249,0.329467,0.082458,0.082631,14.639139,58.308172,100.082338,0.082461,0.089702,635514.4038,100,71.821919
Sing,USC,191002 14:19:12.116,0,0,0,0,0.000039,0,0.99598,2.074401,0.025909,6.161565,0.458941,-2.511537,0.290357,2.074401,0.025909,6.161565,0.457861,-2.425103,0.290357,1.96698,0.025909,6.196695,0.452743,-2.425103,0.298277,0.082519,0.082684,14.639959,58.168521,100.098197,0.082511,0.089729,635933.9313,100,71.821919
Sing,USC,191002 14:19:28.915,0,0,0,0,0.000039,0,-0.000016,2.004034,0.064114,5.124038,0.399349,-2.617137,0.248963,2.004034,0.064114,5.124038,0.396677,-2.533635,0.248963,2.004036,0.064114,5.124038,0.396677,-2.533635,0.248963,0.082498,0.082727,14.640645,58.03402,100.077272,0.082497,0.089722,636088.3113,100,71.821919
Sing,USC,191002 14:19:45.529,0,0,0.000039,0,0.000039,0,-0.996014,1.945647,0.099825,4.105566,0.323897,-2.80163,0.19676,1.945647,0.099825,4.105566,0.319738,-2.720562,0.19676,2.016725,0.099825,4.071123,0.323104,-2.720562,0.191182,0.082503,0.082745,14.642543,57.917104,100.063304,0.082503,0.089719,636334.0263,100,71.821919
Sing,USC,191002 14:20:02.322,0,0,0.000039,0,0.000039,0,-1.991984,1.915415,0.104446,3.012944,0.330167,-2.876961,0.202698,1.915415,0.104446,3.012944,0.325815,-2.797152,0.202698,2.018996,0.104446,2.94455,0.332649,-2.797152,0.191272,0.082529,0.082718,14.642491,57.818689,100.070211,0.082537,0.089734,636643.2775,100,71.821919
Sing,USC,191002 14:20:19.027,0,0,0.000039,0,0.000039,0,-2.988014,1.909546,0.127163,1.920037,0.281664,-3.032244,0.171737,1.909546,0.127163,1.920037,0.276365,-2.952679,0.171737,2.007047,0.127163,1.817903,0.284909,-2.952679,0.157146,0.082483,0.082703,14.640772,57.722685,100.038887,0.082485,0.089714,636536.7669,100,71.821919
