Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191010 14:54:58.606, 0.000000, 0.000000, 0.000039, 0.000000, 0.000000,-0.000001, 5.000007, 3.721101,-0.025160,16.159019,-0.094057,-3.147254, 0.097654, 3.721101,-0.025160,16.159019,-0.093008,-2.992208, 0.097654, 2.298587,-0.025160,16.421844,-0.101165,-2.992208, 0.089177, 0.128783, 0.129307,14.655276,52.853021,124.581134, 0.129268, 0.112253,806958.772500,125.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001967,-10.375275,-0.026158,,,,,
Sing,USC,191010 14:55:15.904, 0.000000, 0.000000, 0.000039, 0.000000, 0.000000,-0.000001, 4.000011, 3.437339,-0.055732,14.500972,-0.035900,-3.249859, 0.121601, 3.437339,-0.055732,14.500972,-0.033578,-3.106637, 0.121601, 2.417426,-0.055732,14.705426,-0.041979,-3.106637, 0.118963, 0.129495, 0.130098,14.657000,52.860932,124.953403, 0.130060, 0.112588,809479.061875,125.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001946,-10.375275,-0.023332,,,,,
Sing,USC,191010 14:55:32.998, 0.000000, 0.000000, 0.000039, 0.000000, 0.000000,-0.000001, 2.999976, 3.231663,-0.045767,12.746714,-0.025506,-3.417799, 0.120325, 3.231663,-0.045767,12.746714,-0.023599,-3.283146, 0.120325, 2.560128,-0.045767,12.898376,-0.029864,-3.283146, 0.118926, 0.129774, 0.130327,14.657864,52.854640,125.051683, 0.130264, 0.112677,810116.540000,125.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001950,-10.375275,-0.021239,,,,,
Sing,USC,191010 14:55:50.210, 0.000000, 0.000000, 0.000039, 0.000000, 0.000000,-0.000001, 1.999978, 3.043087,-0.017222,11.064941, 0.021257,-3.551608, 0.117301, 3.043087,-0.017222,11.064941, 0.021974,-3.424812, 0.117301, 2.655077,-0.017222,11.164401, 0.017867,-3.424812, 0.117996, 0.129826, 0.130350,14.657202,52.843326,125.094157, 0.130355, 0.112716,810421.023750,125.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001986,-10.375275,-0.019879,,,,,
Sing,USC,191010 14:56:07.398, 0.000000, 0.000000, 0.000039, 0.000000, 0.000000,-0.000001, 0.999977, 2.898889, 0.020393, 9.415155, 0.057305,-3.730289, 0.123775, 2.898889, 0.020393, 9.415155, 0.056455,-3.609501, 0.123775, 2.734134, 0.020393, 9.464313, 0.054288,-3.609501, 0.124741, 0.129780, 0.130340,14.660097,52.830727,125.075730, 0.130339, 0.112701,810457.810000,125.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002019,-10.375275,-0.018906,,,,,
Sing,USC,191010 14:56:24.704, 0.000000, 0.000000, 0.000039, 0.000000, 0.000000,-0.000001,-0.000005, 2.811954, 0.083899, 7.810223,-0.002342,-3.951585, 0.067871, 2.811954, 0.083899, 7.810223,-0.005839,-3.834421, 0.067871, 2.811955, 0.083899, 7.810223,-0.005839,-3.834421, 0.067871, 0.129801, 0.130310,14.655973,52.802854,125.102702, 0.130372, 0.112729,810520.682500,125.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001935,-10.375275,-0.018467,,,,,
Sing,USC,191010 14:56:41.903, 0.000000, 0.000000, 0.000030, 0.000000, 0.000000,-0.000001,-1.000015, 2.767287, 0.137130, 6.242311,-0.094552,-4.169106, 0.008381, 2.767287, 0.137130, 6.242311,-0.100266,-4.053803, 0.008381, 2.875811, 0.137130, 6.193064,-0.100105,-4.053803, 0.010130, 0.129840, 0.130423,14.655797,52.764196,125.058535, 0.130289, 0.112693,810341.903125,125.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001939,-10.375275,-0.018224,,,,,
Sing,USC,191010 14:56:59.098, 0.000000, 0.000000, 0.000039, 0.000000, 0.000000,-0.000001,-1.999985, 2.710700, 0.182902, 4.583859,-0.138443,-4.304115,-0.031255, 2.710700, 0.182902, 4.583859,-0.146064,-4.191170,-0.031255, 2.869022, 0.182902, 4.486465,-0.147066,-4.191170,-0.026139, 0.129716, 0.130235,14.654592,52.735891,125.036859, 0.130228, 0.112677,810137.565000,125.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001958,-10.375275,-0.018369,,,,,
Sing,USC,191010 14:57:16.193, 0.000000, 0.000000, 0.000039, 0.000000, 0.000000,-0.000001,-3.000018, 2.735325, 0.209790, 2.850624,-0.155151,-4.482379,-0.042299, 2.735325, 0.209790, 2.850624,-0.163893,-4.368407,-0.042299, 2.880767, 0.209790, 2.703561,-0.165882,-4.368407,-0.033663, 0.129667, 0.130222,14.655087,52.716116,125.000303, 0.130177, 0.112646,810078.759375,125.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001927,-10.375275,-0.018585,,,,,
