Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,240318 11:23:30.672, 0.000000, 0.000000, 0.000000, 0.000000,-0.000079,-0.000001,-4.000020, 0.121104,-0.130393, 0.009188, 0.344787,-0.362842, 0.229536, 0.121104,-0.130393, 0.009188, 0.344787,-0.362842, 0.229536, 0.121450,-0.130393, 0.000717, 0.359959,-0.362842, 0.204926, 0.000000, 0.000000,14.589080,71.697912, 0.000000, 0.000000, 0.000000, 0.000000, 0.008236,71.697912,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.985554,-0.002921, 0.001676, 0.007335,-0.000800,,,,,
Sing,USC,240318 11:23:48.984, 0.000000, 0.000000, 0.000000, 0.000000,-0.000079,-0.000001,-1.999980,-0.048838, 0.046199, 0.092367, 0.000781,-0.095300,-0.014072,-0.048838, 0.046199, 0.092367, 0.000781,-0.095300,-0.014072,-0.045585, 0.046199, 0.094015, 0.000289,-0.095300,-0.014090, 0.000000, 0.000000,14.591443,71.697520, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,71.697533,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.986764,-0.002968, 0.001722, 0.009856, 0.000302,,,,,
Sing,USC,240318 11:24:07.278, 0.000000, 0.000000, 0.000000, 0.000000,-0.000079,-0.000001,-0.000015,-0.067977, 0.180930, 0.014529,-0.291981, 0.058126,-0.199198,-0.067977, 0.180930, 0.014529,-0.291981, 0.058126,-0.199198,-0.067977, 0.180930, 0.014529,-0.291981, 0.058126,-0.199198, 0.000000, 0.000005,14.588819,71.697428, 0.022624, 0.000000, 0.000020,136.834150, 0.022626,71.697382,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.982157,-0.002954, 0.001724, 0.008302, 0.000394,,,,,
Sing,USC,240318 11:24:25.574, 0.000000, 0.000000, 0.000000, 0.000000,-0.000079,-0.000001, 2.000009,-0.020222, 0.229686, 0.105308,-0.380635,-0.181069,-0.254398,-0.020222, 0.229686, 0.105308,-0.380635,-0.181069,-0.254398,-0.023884, 0.229686, 0.104538,-0.371525,-0.181069,-0.267527, 0.000000, 0.000000,14.587337,71.696987, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,71.696967,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.984908,-0.002965, 0.001727, 0.010011, 0.000060,,,,,
Sing,USC,240318 11:24:44.173, 0.000000, 0.000000, 0.000000, 0.000000,-0.000079,-0.000001, 3.999980, 0.094816, 0.183984, 0.149428,-0.290198,-0.483161,-0.203029, 0.094816, 0.183984, 0.149428,-0.290198,-0.483161,-0.203029, 0.084162, 0.183984, 0.155679,-0.275329,-0.483161,-0.222777, 0.000000, 0.000001,14.590046,71.696031, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,71.696009,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.980372,-0.002975, 0.001746, 0.010028,-0.000696,,,,,
Sing,USC,240318 11:25:02.472, 0.000000, 0.000000, 0.000000, 0.000000,-0.000079,-0.000001, 6.000020, 0.151293, 0.197833, 0.049729,-0.317254,-0.483338,-0.217537, 0.151293, 0.197833, 0.049729,-0.317254,-0.483338,-0.217537, 0.145266, 0.197833, 0.065272,-0.292777,-0.483338,-0.249508, 0.000000, 0.000000,14.590099,71.696111, 0.011146, 0.000000, 0.000010,67.414990, 0.022291,71.696133,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.982783,-0.003001, 0.001733, 0.009214,-0.001077,,,,,
Sing,USC,240318 11:25:20.877, 0.000000, 0.000000, 0.000000, 0.000000,-0.000079,-0.000001, 7.999992, 0.192425, 0.223354, 0.141157,-0.392896,-0.735575,-0.262362, 0.192425, 0.223354, 0.141157,-0.392896,-0.735575,-0.262362, 0.170907, 0.223354, 0.166564,-0.352559,-0.735575,-0.314490, 0.000000, 0.000000,14.588870,71.694860, 0.013803, 0.000000, 0.000012,83.484658, 0.000000,71.694843,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.979229,-0.002952, 0.001717, 0.008530,-0.001360,,,,,
Sing,USC,240318 11:25:39.276, 0.000000, 0.000000, 0.000000, 0.000000,-0.000079,-0.000001, 9.999959, 0.219454, 0.236306, 0.153633,-0.419090,-0.859122,-0.279561, 0.219454, 0.236306, 0.153633,-0.419090,-0.859122,-0.279561, 0.189442, 0.236306, 0.189407,-0.364178,-0.859122,-0.348088, 0.000000, 0.000003,14.590631,71.694570, 0.009243, 0.000000, 0.000008,55.910645, 0.000000,71.694595,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.984745,-0.002940, 0.001752, 0.008271,-0.001545,,,,,
Sing,USC,240318 11:25:57.475, 0.000000, 0.000000, 0.000000, 0.000000,-0.000079,-0.000001,12.000025, 0.282311, 0.230940, 0.128934,-0.395097,-1.018781,-0.269942, 0.282311, 0.230940, 0.128934,-0.395097,-1.018781,-0.269942, 0.249335, 0.230940, 0.184812,-0.330339,-1.018781,-0.346189, 0.000000, 0.000001,14.592201,71.694277, 0.027536, 0.000000, 0.000024,166.589282, 0.028043,71.694296,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.984831,-0.003009, 0.001712, 0.011029,-0.001964,,,,,
