Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,240318 12:35:34.874, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999997,-4.000027, 3.214477, 2.071888,-8.724539,-1.208120,-0.255548,-0.340017, 3.214477, 2.071888,-8.724539,-1.208120,-0.255548,-0.340017, 2.190430, 2.598600,-8.899014,-1.166319,-0.461454,-0.259290, 0.079801, 0.079754,14.590201,68.277823,99.886653, 0.080314, 0.088678,611082.751875,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.984787,-0.002922, 0.001719, 0.007826,-0.022646,,,,,
Sing,USC,240318 12:35:53.772, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998,-1.999963, 2.779346, 2.071836,-6.791381,-1.063933,-0.017555,-0.235129, 2.779346, 2.071836,-6.791381,-1.063933,-0.017555,-0.235129, 2.138891, 2.522988,-6.870211,-1.052290,-0.202039,-0.198526, 0.080091, 0.080006,14.589479,68.264551,100.067502, 0.080605, 0.088839,612202.206875,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.981720,-0.002969, 0.001694, 0.006348,-0.018887,,,,,
Sing,USC,240318 12:36:12.473, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 0.000029, 2.518791, 2.075161,-4.882210,-0.924827, 0.168521,-0.199717, 2.518791, 2.075161,-4.882210,-0.924827, 0.168521,-0.199717, 2.120180, 2.481019,-4.882209,-0.940041, 0.005366,-0.199717, 0.080132, 0.080096,14.590670,68.253051,100.091827, 0.080652, 0.088862,612418.220000,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.980750,-0.002985, 0.001735, 0.005405,-0.017139,,,,,
Sing,USC,240318 12:36:31.367, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 2.000010, 2.331754, 2.100343,-3.013158,-0.889014, 0.506531,-0.226901, 2.331754, 2.100343,-3.013158,-0.889014, 0.506531,-0.226901, 2.035591, 2.473339,-2.943910,-0.954961, 0.344460,-0.260388, 0.080088, 0.080038,14.589433,68.240698,100.068773, 0.080603, 0.088843,612199.611875,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.982126,-0.002962, 0.001756, 0.007203,-0.016485,,,,,
Sing,USC,240318 12:36:50.060, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 3.999961, 2.218396, 2.041847,-1.036962,-0.734219, 0.771792,-0.180765, 2.218396, 2.041847,-1.036962,-0.734219, 0.771792,-0.180765, 1.898006, 2.396047,-0.906774,-0.842388, 0.632571,-0.240112, 0.080003, 0.079922,14.589698,68.233079,100.018204, 0.080527, 0.088798,611938.662500,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.981265,-0.002950, 0.001721, 0.008386,-0.016385,,,,,
Sing,USC,240318 12:37:08.772, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 6.000023, 2.153272, 1.923441, 1.069502,-0.403132, 0.979449,-0.068874, 2.153272, 1.923441, 1.069502,-0.403132, 0.979449,-0.068874, 1.664975, 2.268132, 1.250391,-0.556781, 0.894566,-0.127774, 0.079958, 0.079853,14.586924,68.224980,99.997887, 0.080483, 0.088781,611735.072500,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.983974,-0.002960, 0.001692, 0.010097,-0.016346,,,,,
Sing,USC,240318 12:37:27.661, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 7.999999, 2.155568, 1.777514, 3.100760,-0.062425, 1.367290, 0.071036, 2.155568, 1.777514, 3.100760,-0.062425, 1.367290, 0.071036, 1.364960, 2.124821, 3.323066,-0.305881, 1.335677, 0.028745, 0.079859, 0.079787,14.584387,68.218330,99.938329, 0.080377, 0.088729,611301.019375,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.982080,-0.002970, 0.001734, 0.007558,-0.016759,,,,,
Sing,USC,240318 12:37:46.364, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 9.999958, 2.333527, 1.594280, 5.223034, 0.232852, 1.649244, 0.231761, 2.333527, 1.594280, 5.223034, 0.232852, 1.649244, 0.231761, 1.083559, 1.975272, 5.494667,-0.096453, 1.664623, 0.218329, 0.079673, 0.079658,14.586275,68.211650,99.818771, 0.080192, 0.088623,610628.893125,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.980777,-0.002904, 0.001681, 0.009057,-0.018102,,,,,
Sing,USC,240318 12:38:05.168, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998,12.000024, 2.681225, 1.483968, 7.478454, 0.269729, 1.833915, 0.283915, 2.681225, 1.483968, 7.478454, 0.269729, 1.833915, 0.283915, 0.775872, 1.927013, 7.810444,-0.110699, 1.852891, 0.266728, 0.079460, 0.079395,14.588645,68.204315,99.672777, 0.079972, 0.088494,609852.789375,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.984346,-0.002943, 0.001630, 0.008278,-0.020561,,,,,
Sing,USC,240318 12:38:23.868, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998,14.000005, 3.143236, 1.350961, 9.735643, 0.137321, 1.995953, 0.297792, 3.143236, 1.350961, 9.735643, 0.137321, 1.995953, 0.297792, 0.420644, 1.876253,10.138565,-0.277122, 1.989476, 0.237814, 0.079442, 0.079406,14.588348,68.202458,99.663398, 0.079958, 0.088486,609800.958125,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.987421,-0.002991, 0.001685, 0.007351,-0.024274,,,,,
Sing,USC,240318 12:38:42.564, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998,16.000018, 3.755840, 1.119538,11.974000,-0.019074, 2.274792, 0.321161, 3.755840, 1.119538,11.974000,-0.019074, 2.274792, 0.321161, 0.068135, 1.754723,12.476084,-0.486292, 2.236921, 0.194660, 0.079542, 0.079499,14.587032,68.199283,99.729669, 0.080056, 0.088545,610150.829375,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.986646,-0.002965, 0.001756, 0.007971,-0.029455,,,,,
Sing,USC,240318 12:39:01.471, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998,18.000029, 4.660166, 0.786170,14.143672,-0.026893, 2.592787, 0.327871, 4.660166, 0.786170,14.143672,-0.026893, 2.592787, 0.327871,-0.135729, 1.583455,14.827438,-0.554702, 2.548726, 0.164510, 0.079483, 0.079375,14.587963,68.197635,99.691989, 0.080000, 0.088512,609956.825625,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.984141,-0.002913, 0.001782, 0.007529,-0.037228,,,,,
Sing,USC,240318 12:39:20.358, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998,20.000014, 5.836200, 0.499648,16.026873,-0.492108, 2.628202, 0.213127, 5.836200, 0.499648,16.026873,-0.492108, 2.628202, 0.213127,-0.162132, 1.505503,16.996432,-0.957157, 2.502820,-0.121571, 0.079481, 0.079429,14.591183,68.196410,99.684686, 0.080004, 0.088505,610031.858750,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.977190,-0.002961, 0.001728, 0.008141,-0.045631,,,,,
Sing,USC,240318 12:39:39.066, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998,21.999995, 7.036603, 0.070101,17.466104,-0.954146, 2.702021, 0.270516, 7.036603, 0.070101,17.466104,-0.954146, 2.702021, 0.270516,-0.129095, 1.290929,18.785640,-1.407601, 2.495285,-0.276946, 0.079412, 0.079386,14.589881,68.193947,99.637920, 0.079927, 0.088464,609733.191250,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.978364,-0.002972, 0.001713, 0.007605,-0.053487,,,,,
